phi,x_h2,T_ad,CO2,H2O,CO,NO,NO2,OH,H2,O2
0.775,0.2,1970.1317565927957,0.07013766400215223,0.15767521563969505,0.00035167918255400124,0.003028427821958133,2.464560072152214e-06,0.001479093046327693,0.0001769277265873766,0.04181464211882194
0.8,0.2,2008.0630385458444,0.07203139328276317,0.16211325649771158,0.0005300044536208398,0.00315507237136853,2.2605600594416676e-06,0.0017532248234641595,0.0002588724583376269,0.03686234591795617
0.825,0.2,2044.7189108734044,0.07383159356452634,0.16647188836238236,0.0007855515942739981,0.003238536686709677,2.036671362328888e-06,0.002042419356297912,0.00037366999231861744,0.032007940965180996
0.8500000000000001,0.2,2079.909384928195,0.07550781082098408,0.17073958570748388,0.001147066413991431,0.0032697595097196386,1.7961878043406198e-06,0.002336721679232495,0.0005331522676456471,0.027280146770118047
0.875,0.2,2113.3741132304726,0.0770193775842932,0.17490103384444303,0.0016529052752246906,0.0032393833552574855,1.5433804338980764e-06,0.002622093805067635,0.000753453894223282,0.022716513459129384
0.9,0.2,2144.752003167847,0.07831185684682235,0.17893506862394956,0.0023543447994520367,0.003138207568926094,1.2837839120098713e-06,0.0028795947227215433,0.0010569620159780403,0.018366138464406916
0.925,0.2,2173.5332790216216,0.07931202419301923,0.18281115246568352,0.0033202215221477946,0.0029581319761860262,1.0245673099459884e-06,0.0030846728648501994,0.0014754454125923532,0.014293300838603534
0.95,0.2,2198.9857909681086,0.0799212520632208,0.1864833866122608,0.004642978520541141,0.0026941327100833863,7.749732606177952e-07,0.003207123495430412,0.0020550203193835308,0.010581888641561997
0.9750000000000001,0.2,2220.0585694410875,0.0800094452770831,0.18988115496081065,0.006443993819743208,0.0023483124526502276,5.46643765171225e-07,0.0032133451369348617,0.0028632176848076077,0.007338600027614931
1.0,0.2,2235.330640664005,0.07942051061404545,0.1928987182157711,0.008867707282479995,0.0019372215413099461,3.530815188656919e-07,0.0030748198282360257,0.0039951484076930005,0.0046863550960577925
1.025,0.2,2243.257119210479,0.07801929057730092,0.1953988733116421,0.01203645564582835,0.001500217561280712,2.0640577275412267e-07,0.0027877225467709543,0.005565157719310974,0.0027269636563636763
1.05,0.2,2243.041929175375,0.07580204240444449,0.1972610862787326,0.01594635160230522,0.0010952695895656416,1.1038498645119136e-07,0.0023949433518559993,0.00766190024721704,0.0014624329332850888
1.0750000000000002,0.2,2235.564534757357,0.07297272466167443,0.19845934581763186,0.020397882152313498,0.0007694150492892134,5.6085695027453445e-08,0.0019744832972822617,0.010288681876285123,0.0007500602829302938
1.1,0.2,2222.9356664334223,0.06983966306874581,0.19907069930557197,0.02509637459740334,0.0005331834039609617,2.825380376302696e-08,0.0015908771674612696,0.013369326874980913,0.0003832447099953046
1.125,0.2,2207.1996063511715,0.06665373679172074,0.19920554515067085,0.02980468686448204,0.00037055719103246414,1.4487244325633994e-08,0.0012702535619292829,0.01681014949122268,0.00019991694616192877
1.15,0.2,2189.7359887654475,0.06356091349862414,0.19895700034201613,0.034386327426477035,0.00026013273298024323,7.634213886363489e-09,0.00101260452103949,0.020536897610428574,0.0001073697289786709
1.175,0.2,2171.3488013522933,0.06063115644730248,0.19839280504275034,0.038777026569710486,0.00018478652559713988,4.137930785328767e-09,0.0008084733135246802,0.024496944105612668,5.9379791097688146e-05
1.2000000000000002,0.2,2152.4896216914726,0.05789220205803677,0.19756227858196168,0.0429524215781033,0.00013276481554984676,2.30133632284372e-09,0.000647203051994148,0.028651894945015945,3.371981601519042e-05
1.225,0.2,2133.414710000239,0.055350208555815954,0.19650322849671076,0.04690844579429659,9.636368162423896e-05,1.3089843819184569e-09,0.0005195654976458034,0.03297171055000622,1.959306231945594e-05
1.25,0.2,2114.2731686479824,0.05300056871207275,0.19524625212073285,0.050651095858740704,7.05637987304662e-05,7.590380094151341e-10,0.0004181959469944928,0.03743141081581175,1.1610455729103474e-05
1.275,0.2,2095.153960338365,0.05083344398968543,0.19381712547337085,0.054191204401436655,5.206461179886225e-05,4.4744557170384204e-10,0.0003373773565154666,0.04200940260615517,6.996229191321733e-06
1.3,0.2,2076.1111889601025,0.04883665677908895,0.19223811333017876,0.05754171118562248,3.866425587269652e-05,2.674915430950735e-10,0.00027270381610625154,0.046686640552218134,4.276324135015583e-06
1.3250000000000002,0.2,2057.178092805402,0.04699724534516051,0.19052871687301576,0.06071619768017324,2.887086817203506e-05,1.6183604882031155e-10,0.00022077610611228693,0.051446184331513295,2.6458052716215726e-06
1.35,0.2,2038.3750633832283,0.04530231433421222,0.18870613515199097,0.06372808741540037,2.1658420178106408e-05,9.891707456749773e-11,0.0001789598317061989,0.0562729362276932,1.6540664034097735e-06
1.375,0.2,2019.7143994664516,0.04373949680069693,0.18678558072093635,0.066590213940598,1.631146578479713e-05,6.098795151247016e-11,0.00014520160519623885,0.06115345740948822,1.04327013702243e-06
1.4,0.2,2001.203212919417,0.042297193315413414,0.18478051904623283,0.0693146000290775,1.2324873600861065e-05,3.788181921714777e-11,0.00011789134256503785,0.0660758174816732,6.63015538997096e-07
1.425,0.2,1982.845251707702,0.04096467963216391,0.18270286552236178,0.07191236156921514,9.338004806489175e-06,2.3677952567579095e-11,9.575930094208752e-05,0.07102945847609361,4.2407709042488634e-07
1.4500000000000002,0.2,1964.6420683397882,0.03973213598821529,0.18056315620535365,0.07439368577855593,7.090813502505614e-06,1.4878496029773528e-11,7.779880727983946e-05,0.07600506660710371,2.7273107608583214e-07
1.475,0.2,1946.5937814608433,0.0385906300697669,0.17837069979947198,0.0767678532665765,5.394129482414295e-06,9.390801486583046e-12,6.320790806416305e-05,0.08099445030467914,1.7620591856965645e-07
1.5,0.2,1928.699578819796,0.0375320734852022,0.17613371441191242,0.07904328499820741,4.109263293929446e-06,5.949027412269612e-12,5.134499000010373e-05,0.08599042493799491,1.1428098708053728e-07
1.5250000000000001,0.2,1910.9580521671005,0.036549164249042594,0.17385945085601415,0.08122760223294342,3.1338317331320785e-06,3.7800441161701605e-12,4.16947748228093e-05,0.09098670508798422,7.435393461939417e-08
1.55,0.2,1893.3674216013421,0.035635323131587765,0.1715543035595577,0.08332769191032456,2.3917926357274672e-06,2.407657120171122e-12,3.3842072943313484e-05,0.09597780506394546,4.850101973973116e-08
1.575,0.2,1875.925685662686,0.03478462880284222,0.16922390995287753,0.08534977278918056,1.8263651786448056e-06,1.5364036429619688e-12,2.7451384022004875e-05,0.10095894801089794,3.170166813177601e-08
1.6,0.2,1858.6307224596546,0.033991754693341036,0.1668732390983522,0.08729945953681971,1.394952059938502e-06,9.817884606836232e-13,2.2250938433327227e-05,0.10592598367332974,2.0753346286577585e-08
0.5,0.4,1504.6592692662769,0.04246739256671755,0.11321159986062986,7.093120819293757e-07,0.000838137258245335,3.0438210339493553e-06,7.173958666202492e-05,7.256254011909577e-07,0.09865211361089385
0.525,0.4,1552.883608415974,0.0444636167474668,0.11851793367217249,1.5310443388465598e-06,0.0010214661347977632,3.1327486494354476e-06,0.00010845410673057746,1.4537255036870937e-06,0.09332999077567206
0.55,0.4,1600.2181329009604,0.04644757067696308,0.12378627339696448,3.1281573813064864e-06,0.00122143334609895,3.1940446985008035e-06,0.0001586252836415352,2.7749811627176315e-06,0.08802565001636871
0.575,0.4,1646.6740549585897,0.048418667922759284,0.12901473949867306,6.087773905872182e-06,0.0014354764659043184,3.227030487109381e-06,0.0002252169884072578,5.074868570721121e-06,0.08273966974585532
0.6,0.4,1692.2580358892662,0.0503759437296047,0.1342011197293214,1.1345821042383614e-05,0.0016603931778750244,3.2313116183820117e-06,0.0003112907885054997,8.933677141923324e-06,0.07747316528384388
0.625,0.4,1736.9712855116695,0.05231788986222389,0.13934283974097939,2.0344389470297508e-05,0.001892359435894205,3.206753986550814e-06,0.00041986262587463647,1.5200634015095182e-05,0.07222793933070328
0.65,0.4,1780.8083512317523,0.054242235323263194,0.1444369207168666,3.524084958843502e-05,0.002126944294503094,3.153469865683674e-06,0.0005537259275848342,2.5088960059401218e-05,0.06700668649092197
0.675,0.4,1823.7555158456112,0.0561456598665048,0.14947991782853484,5.91810629726899e-05,0.0023591195488945095,3.071815498231514e-06,0.0007152381883449472,4.029701661823745e-05,0.061813264493028194
0.7,0.4,1865.7886969923168,0.05802342423074286,0.15446783164407965,9.665180752399864e-05,0.002583263707385776,2.9624019237153283e-06,0.0009060666002765625,6.316262558106308e-05,0.056653046855122874
0.725,0.4,1906.8707018710209,0.05986889690452572,0.15939598181523337,0.0001539313468721132,0.00279316152386416,2.8261212091090734e-06,0.0011268866388962793,9.686066969654714e-05,0.0515333746512249
0.75,0.4,1946.947628659664,0.06167295136072565,0.1642588275276997,0.00023966249610729568,0.0029820025425406353,2.6641907486125816e-06,0.0013770258594665158,0.00014565893318846415,0.04646412914370518
0.775,0.4,1985.9441033222577,0.06342319887416134,0.16904971063823432,0.00036558065073868907,0.003142385207465741,2.4782189149185306e-06,0.001654043817311174,0.00021525513671298753,0.04145845313656447
0.8,0.4,2023.7568644130604,0.06510300799521355,0.173760482104751,0.0005474421117887308,0.003266337750605107,2.2702961383660274e-06,0.0019532384733300994,0.00031323165230270493,0.03653365848425062
0.825,0.4,2060.245899500893,0.06669023839218743,0.1783809446017462,0.0008062193632548737,0.0033453747506793515,2.043116620262858e-06,0.0022670706114141636,0.0004496878223086422,0.031712372947744975
0.8500000000000001,0.4,2095.2217902459543,0.06815557764183323,0.18289799380150984,0.0011696655345041222,0.003370622240689821,1.8001376118884102e-06,0.002584503013148539,0.0006381509213237998,0.027024005493272628
0.875,0.4,2128.4269757654147,0.06946030775063626,0.1872942494183605,0.0016744058963046786,0.003333072193087508,1.545785682377942e-06,0.0028902672581888524,0.0008969384347681056,0.022506647898907186
0.9,0.4,2159.507121676099,0.07055325089186801,0.1915458064518108,0.0023687816150340145,0.003224086698936455,1.2857216251851314e-06,0.003164118992504684,0.0012512632897250097,0.01820957025661717
0.925,0.4,2187.9668839881256,0.07136663529345554,0.19561848252498268,0.003316667255433279,0.003036400586843198,1.0271707589787456e-06,0.003380284982728358,0.0017365412410640586,0.014196428532220511
0.95,0.4,2213.1044405966477,0.07181107526471264,0.19946167040326337,0.004602031594820046,0.0027661302566831017,7.792846518501296e-07,0.0035077151272196357,0.0024034577138994082,0.010548852052937046
0.9750000000000001,0.4,2233.9322416714426,0.07177216164211515,0.20299928041503268,0.00633179689443742,0.002416686200935442,5.533288781479973e-07,0.0035128114787102357,0.0033247331063986003,0.007368131414414156
1.0,0.4,2249.1519064835547,0.07111867978134806,0.20612091159963464,0.00862743307594839,0.0020053889603894636,3.6197801671469947e-07,0.0033682852569195737,0.004599961959881104,0.004766889641799986
